Country,Campaign Name,Campaign ID,ACOS Target
BE,Brushes AUTOKEY,482189146565444,35%
BE,SP-BPE - Tapis de Découpe - 150x100 - MANUAL,457097144860889,20%
BE,SP-BPE - Tapis de Découpe - 200x100 - MANUAL,519665330295921,20%
BE,SP-BPE - Tapis de Découpe - A0 - MANUAL,340225554799346,20%
BE,SP-BPE - Tapis de Découpe - A0 120x90 - MANUAL,555471628757680,20%
BE,SP-BPE - Tapis de Découpe - A1 - MANUAL,482162953596934,20%
BE,SP-BPE - Tapis de Découpe - A1 90x60 - MANUAL,428044973058955,20%
BE,SP-BPE - Tapis de Découpe - A2 - MANUAL,437099185254110,20%
BE,SP-BPE - Tapis de Découpe - A2 60x45 - MANUAL,537367183683051,20%
BE,SP-BPE - Tapis de Découpe - A3 - MANUAL,284711767923493,20%
BE,SP-BPE - Tapis de Découpe - A3 45x30 - MANUAL,522303735768178,20%
BE,SP-BPE - Tapis de Découpe - A4 - MANUAL,395912787392790,20%
BE,SP-BPE - Tapis de Découpe - A4 30x22 - MANUAL,430147249880808,20%
BE,SP-BPE - Tapis de Découpe - Black - MANUAL,544899285838941,20%
BE,SP-BPE - Tapis de Découpe - Blue - MANUAL,491502140144175,20%
BE,SP-BPE - Tapis de Découpe - Gray - MANUAL,347394253476358,20%
BE,SP-BPE - Tapis de Découpe - Green - MANUAL,394883771175424,20%
BE,SP-BPE - Tapis de Découpe - MANUAL ALL,439745534651034,20%
BE,SP-BPE - Tapis de Découpe - Pink - MANUAL,324957641732861,20%
BE,SP-PT - Tapis de Découpe - EXACT,333667278804514,20%
BE,Cutting Mat AUTO,188593058327905,20%
BE,Snijmat CAT,516653832029654,20%
BE,Snijmat MANUAL KEYWORDS ALL,333091294020245,20%
BE,Snijmat MANUAL KEYWORDS Detail,315518614865247,20%
BE,Mats Display AUD Purchase Remarket,504030518851959,20%
BE,Mats Display AUD View Remarket,472440126561042,20%
BE,Mats Display CAT,352187740851435,20%
BE,Cutting Mats Store Brands Video,,20%
BE,Rotary Cutters AUTOKEY,391030178653954,30%
BE,Rulers AUTOKEY,414540653682060,30%
BE,Slices AUTOKEY,283411558966459,30%
BE,SP-BPE - Toile à Peindre - 20x20 - MANUAL,408183755256559,20%
BE,SP-BPE - Toile à Peindre - 20x30 - MANUAL,527115662170399,20%
BE,SP-BPE - Toile à Peindre - 30x30 - MANUAL,446848315198354,20%
BE,SP-BPE - Toile à Peindre - 30x40 - MANUAL,358249550747657,20%
BE,SP-BPE - Toile à Peindre - 30x45 - MANUAL,360662934955331,20%
BE,SP-BPE - Toile à Peindre - 30x60 - MANUAL,430691239529486,20%
