State,Campaigns,Status,Type,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(EUR),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(EUR),CPC(EUR),DPV,Orders,Sales(EUR),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(EUR),% of sales NTB,Viewable impressions,VCPM(EUR),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(EUR)
ENABLED,Cutting Mat MANUAL A0 Beige,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,29.411764705882355%,CPC,19,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Black,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,35.84905660377358%,CPC,324,6,0.0185,5.20,0.87,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Blau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,23.333333333333332%,CPC,31,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Braun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,66.66666666666666%,CPC,3,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Dunkelblau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Dunkelgrau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Dunkelgrun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Grau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,18.461538461538463%,CPC,1077,9,0.0084,8.65,0.96,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Grun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,29.508196721311474%,CPC,84,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Hellblau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Hellgrau,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,9/26/24,,Cutting Mat X-Detail,20.00,50.0%,CPC,1,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Hellgrun,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Pink,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/23/24,,Cutting Mat X-Detail,20.00,42.857142857142854%,CPC,147,1,0.0068,1.26,1.26,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Purple,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,28.57142857142857%,CPC,13,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,Cutting Mat MANUAL A0 Taupe,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,7/24/24,,Cutting Mat X-Detail,20.00,,CPC,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
