Campaign Name,Ad Group Name,Targeting,Match Type,Current Bid,Proposed Bid,Change (%),Action,Clicks,Impressions,Cost,Sales,Orders,ACOS (%),CVR (%),CPC,Target ACOS (%),Confidence,Rationale
"Slices MANUAL","Slices MANUAL","legno",BROAD,0.11,0.08,-27.3,decrease,76,0,7.45,22.09,1,33.7,1.32,0.10,20,OK,"ACOS 33.7% exceeds target range (16%-22%). CVR: 1.32%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.11 × (20/33.7) = 0.07, capped at -25%."
"Lineal MANUAL KEYWORDS","Lineal MANUAL 30CM","squadra per sarta",BROAD,0.23,0.17,-26.1,decrease,87,0,25.47,88.19,8,28.9,9.20,0.29,20,OK,"ACOS 28.9% exceeds target range (16%-22%). CVR: 9.20%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.23 × (20/28.9) = 0.16, capped at -25%."
"Paint AUTO OIL","Paint AUTO OIL 12ml","close-match",TARGETING_EXPRESSION_PREDEFINED,0.31,0.23,-25.8,decrease,147,0,46.92,119.28,9,39.3,6.12,0.32,20,Good,"ACOS 39.3% exceeds target range (16%-22%). CVR: 6.12%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.31 × (20/39.3) = 0.16, capped at -25%."
"SP Cutting Mat AUTO DETAIL","Cutting Mat A3","complements",TARGETING_EXPRESSION_PREDEFINED,0.31,0.23,-25.8,decrease,175,0,52.38,91.62,6,57.2,3.43,0.30,20,Good,"ACOS 57.2% exceeds target range (16%-22%). CVR: 3.43%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.31 × (20/57.2) = 0.11, capped at -25%."
"Lineal MANUAL KEYWORDS","Lineal MANUAL 60CM","righello da sarta",BROAD,0.31,0.23,-25.8,decrease,42,0,15.11,47.27,3,32.0,7.14,0.36,20,OK,"ACOS 32.0% exceeds target range (16%-22%). CVR: 7.14%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.31 × (20/32.0) = 0.19, capped at -25%."
"Slices MANUAL","Slices MANUAL","tronchetti legno",PHRASE,0.31,0.23,-25.8,decrease,36,0,12.76,17.99,1,70.9,2.78,0.35,20,OK,"ACOS 70.9% exceeds target range (16%-22%). CVR: 2.78%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.31 × (20/70.9) = 0.09, capped at -25%."
"Slices MANUAL","Slices MANUAL","tronco di legno",PHRASE,0.31,0.23,-25.8,decrease,102,0,31.84,99.28,4,32.1,3.92,0.31,20,Good,"ACOS 32.1% exceeds target range (16%-22%). CVR: 3.92%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.31 × (20/32.1) = 0.19, capped at -25%."
"Stretched Canvas AUTO Detail","Stretched Canvas AUTO 30x60","loose-match",TARGETING_EXPRESSION_PREDEFINED,0.43,0.32,-25.6,decrease,148,0,67.48,166.97,6,40.4,4.05,0.46,20,Good,"ACOS 40.4% exceeds target range (16%-22%). CVR: 4.05%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.43 × (20/40.4) = 0.21, capped at -25%."
"SP-PT Cutting Mat MAXKO","Cutting Mat MAXKO","asin=""B01MSMAO37""",TARGETING_EXPRESSION,0.51,0.38,-25.5,decrease,47,0,19.91,67.05,4,29.7,8.51,0.42,20,OK,"ACOS 29.7% exceeds target range (16%-22%). CVR: 8.51%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/29.7) = 0.34, capped at -25%."
"SP-PT Cutting Mat OFFICETREE","Cutting Mat OFFICETREE","asin=""B072J3ZTH4""",TARGETING_EXPRESSION,0.51,0.38,-25.5,decrease,89,0,40.10,58.07,3,69.1,3.37,0.45,20,OK,"ACOS 69.1% exceeds target range (16%-22%). CVR: 3.37%. Decreasing bid by 25.0% to improve efficiency. Formula: 0.51 × (20/69.1) = 0.15, capped at -25%."
