date,attributedSalesSameSku1d,roasClicks14d,unitsSoldClicks1d,matchType,attributedSalesSameSku14d,unitsSoldOtherSku14d,sales7d,salesOtherSku14d,attributedSalesSameSku30d,searchTerm,unitsSoldSameSku1d,campaignStatus,keyword,salesOtherSku7d,purchasesSameSku7d,campaignBudgetAmount,purchases7d,unitsSoldSameSku30d,costPerClick,unitsSoldClicks14d,adGroupName,campaignId,clickThroughRate,purchaseClickRate14d,acosClicks14d,unitsSoldClicks30d,portfolioId,campaignBudgetCurrencyCode,roasClicks7d,unitsSoldSameSku14d,unitsSoldClicks7d,keywordId,attributedSalesSameSku7d,sales1d,adGroupId,addToList,keywordBid,targeting,purchasesSameSku14d,unitsSoldOtherSku7d,spend,purchasesSameSku1d,campaignBudgetType,keywordType,purchases1d,unitsSoldSameSku7d,cost,sales14d,acosClicks7d,sales30d,impressions,purchasesSameSku30d,purchases14d,purchases30d,clicks,campaignName
2025-12-31,0.0,0.0,0,TARGETING_EXPRESSION_PREDEFINED,0.0,0,0.0,0.0,0.0,3660 canvas,0,ENABLED,close-match,0.0,0,30.0,0,0,0.38,0,Stretched Canvas AUTO ALL,322603208588387,100.0,0.0,,0,49215886513051,EUR,0.0,0,0,9853124101240,0.0,0.0,469269469532754,0,0.41,close-match,0,0,0.38,0,DAILY_BUDGET,TARGETING_EXPRESSION_PREDEFINED,0,0,0.38,0.0,,0.0,1,0,0,0,1,Stretched Canvas AUTO ALL
2025-12-31,0.0,53.42307692307693,0,TARGETING_EXPRESSION_PREDEFINED,13.89,0,13.89,0.0,13.89,acquarelli,0,ENABLED,loose-match,0.0,1,15.0,1,1,0.26,1,Paint AUTO WATER,513749172344724,7.142857142857142,100.0,1.8718502519798417,1,279725684982601,EUR,53.42307692307693,1,1,164989747311077,13.89,0.0,392758841230860,0,0.23,loose-match,1,0,0.26,0,DAILY_BUDGET,TARGETING_EXPRESSION_PREDEFINED,0,1,0.26,13.89,1.8718502519798417,13.89,14,1,1,1,1,Paint AUTO WATER
2025-12-31,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,acquarelli per dipingere,0,ENABLED,set per dipingere per dipingere,0.0,0,25.0,0,0,0.45,0,Paint MANUAL ALL,447250879119603,1.5625,0.0,,0,279725684982601,EUR,0.0,0,0,164780543644331,0.0,0.0,560840479586284,0,0.38,set per dipingere per dipingere,0,0,0.9,0,DAILY_BUDGET,BROAD,0,0,0.9,0.0,,0.0,128,0,0,0,2,Paint MANUAL ALL
2025-12-31,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,acquarelli per dipingere,0,ENABLED,set pittura per dipingere,0.0,0,25.0,0,0,0.45,0,Paint MANUAL ALL,447250879119603,7.142857142857142,0.0,,0,279725684982601,EUR,0.0,0,0,100928275185879,0.0,0.0,560840479586284,0,0.38,set pittura per dipingere,0,0,0.45,0,DAILY_BUDGET,BROAD,0,0,0.45,0.0,,0.0,14,0,0,0,1,Paint MANUAL ALL
2025-12-31,0.0,0.0,0,EXACT,0.0,0,0.0,0.0,0.0,acquarelli professionali,0,ENABLED,acquarelli professionali,0.0,0,10.0,0,0,0.37,0,Paint MANUAL WATER,534516355453981,11.11111111111111,0.0,,0,279725684982601,EUR,0.0,0,0,147795122108675,0.0,0.0,372235335652539,0,0.31,acquarelli professionali,0,0,0.37,0,DAILY_BUDGET,EXACT,0,0,0.37,0.0,,0.0,9,0,0,0,1,Paint MANUAL WATER
2025-12-31,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,acquerelli,0,ENABLED,acquerello,0.0,0,20.0,0,0,0.16,0,Water MANUAL,144719711848390,2.0,0.0,,0,51115655977058,EUR,0.0,0,0,48339896413928,0.0,0.0,215111353509927,0,0.21,acquerello,0,0,0.16,0,DAILY_BUDGET,BROAD,0,0,0.16,0.0,,0.0,50,0,0,0,1,Books MANUAL
2025-12-31,0.0,0.0,0,TARGETING_EXPRESSION,0.0,0,0.0,0.0,0.0,acquerelli,0,ENABLED,"asin=""B07XM7SDWF""",0.0,0,20.0,0,0,0.22,0,Water Product Target,205703272465105,100.0,0.0,,0,51115655977058,EUR,0.0,0,0,82492237861470,0.0,0.0,271092907946393,0,0.26,"asin=""B07XM7SDWF""",0,0,0.22,0,DAILY_BUDGET,TARGETING_EXPRESSION,0,0,0.22,0.0,,0.0,1,0,0,0,1,Books PRODUCT TARGET (D)
2025-12-31,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,acquerelli tubetti,0,ENABLED,acquerelli tubetto,0.0,0,10.0,0,0,0.31,0,Paint MANUAL WATER,534516355453981,33.33333333333333,0.0,,0,279725684982601,EUR,0.0,0,0,80455952604608,0.0,0.0,372235335652539,0,0.31,acquerelli tubetto,0,0,0.31,0,DAILY_BUDGET,BROAD,0,0,0.31,0.0,,0.0,3,0,0,0,1,Paint MANUAL WATER
2025-12-31,0.0,0.0,0,EXACT,0.0,0,0.0,0.0,0.0,acquerelli tubetto,0,ENABLED,acquerelli in tubetto,0.0,0,10.0,0,0,0.36,0,Paint MANUAL WATER,534516355453981,12.5,0.0,,0,279725684982601,EUR,0.0,0,0,131649966172433,0.0,0.0,372235335652539,0,0.31,acquerelli in tubetto,0,0,0.36,0,DAILY_BUDGET,EXACT,0,0,0.36,0.0,,0.0,8,0,0,0,1,Paint MANUAL WATER
2025-12-31,0.0,0.0,0,BROAD,0.0,0,0.0,0.0,0.0,amazon basics set pennelli pittura,0,ENABLED,set pennello pittura,0.0,0,20.0,0,0,0.41,0,SP Manual General Keywords Paint Brush - SHAPES,382193361476478,100.0,0.0,,0,143372869517047,EUR,0.0,0,0,138695732471226,0.0,0.0,284169521694618,0,0.41,set pennello pittura,0,0,0.41,0,DAILY_BUDGET,BROAD,0,0,0.41,0.0,,0.0,1,0,0,0,1,SP Manual General Keywords ALL Paint Brush
