source_table,campaign_id,campaign_name,country,campaign_status
"brand_search_terms","411918574787817","SB VID 280 Stretched Canvas MANUAL DETAIL","IT","ENABLED"
"brand_search_terms","511178909718995","SB VID 280 Stretched Canvas CAT ALL","DE","ENABLED"
"brand_search_terms","514799801019382","Stretched Canvas Store Video","DE","ENABLED"
"brand_search_terms","531845039807022","SB VID Cutting Mat MANUAL ALL","GB",""
"brand_search_terms","337035178897467","SB VID 280 Stretched Canvas MANUAL ALL","FR","ENABLED"
"brand_search_terms","384005319493704","Cutting Mat Store Brands Video MANUAL","NL",""
"brand_search_terms","364648028968311","SB VID Cutting Mat CAT ALL","IT",""
"brand_search_terms","306917668569851","SB VID 280 Stretched Canvas CAT ALL","FR","ENABLED"
"brand_search_terms","480418488941880","Stretched Canvas Brand Store Video MANUAL","US","PAUSED"
"brand_search_terms","381891121493280","SB VID Cutting Mat CAT ALL","US",""
"brand_search_terms","469415573168930","SB VID 280 Stretched Canvas MANUAL ALL","GB","ENABLED"
"brand_search_terms","526078293117030","SB VID 280 Stretched Canvas CAT ALL","ES","ENABLED"
"brand_search_terms","450074767441262","SB VID Paint Brush Product Target","GB","ENABLED"
"brand_search_terms","513709229264242","SB VID 380 Stretched Canvas CAT ALL","GB","ENABLED"
"brand_search_terms","540148758058671","SB VID Cutting Mat Defensive to Mat","GB",""
"brand_search_terms","413838476854176","SB VID Cutting Mat MANUAL ALL","FR",""
"brand_search_terms","498694549347100","SB VID Cutting Mat MANUAL ALL","JP","ENABLED"
"brand_search_terms","557100236062425","SB VID 280 Stretched Canvas CAT ALL","US","PAUSED"
"brand_search_terms","370510089648187","SB VID Cutting Mat CAT ALL","DE","ENABLED"
"brand_search_terms","315699613266232","SB VID Cutting Mat MANUAL ALL","ES","ENABLED"
"brand_search_terms","380802983049729","SB VID 280 Stretched Canvas Defensive to 380 Stretched Canvas (DETAIL)","GB","ENABLED"
"brand_search_terms","496184004053963","SB VID Cutting Mat MANUAL ALL","US","ENABLED"
"brand_search_terms","495487579055746","SB VID Cutting Mat CAT ALL","FR","ENABLED"
"brand_search_terms","293115580607167","SB VID 280 Stretched Canvas Defensive to 280 Stretched Canvas","GB","ENABLED"
